Device: Apple iPhone11,8; eSense app version: 4.9.0; ios version: 14.0;
DESCRIPCIÓN
NOMBRE DE LA GRABACIÓN;HRV-Grabación-05012021-205653;;;;;;
eSense Pulse:;0000387;;;;;;
FECHA (HH:MM:SS);05.01.21 20:56:53;;;;;;
TIEMPO (HH:MM:SS);00:11:19;;;;;;
MÁXIMO;120.7 HR;;;;;;
MÍNIMO;62.6 HR;;;;;;
DIFERENCIA MIN/MAX;58.1 HR;;;;;;
MEDIA DE LA SESIÓN;78.39 HR;;;;;;
;;;;;;;
SDNN;50.557 ms;;;;;;
RMSSD;33.701 ms;;;;;;
NN50;99;;;;;;
PNN50;11.237 %;;;;;;
ÍNDICE DE ESTRÉS;60.188;;;;;;
RR PROMEDIO;768.8 ms;;;;;;
HR PROMEDIO;78.0 HR;;;;;;
VALORES DE HR CORREGIDOS;0;;;;;;
VALORES DE HR CORREGIDOS EN%;0.0 %;;;;;;
CORAZONES ROJOS;53;;;;;;
CORAZONES RARANJAS;28;;;;;;
CORAZONES AMAARILLOS;40;;;;;;
CORAZONES VERDES;15;;;;;;
;;;;;;;
ESTADÍSTICAS;;;;;;;
SEGUNDO;RITMO CARDIACO;RR;AMPLITUD HRV;UNIFORMIDAD;MARCAS DE TIEMPO;MARCADOR;
42.142;71.3;842;14.38;0;20:57:39:878;;
42.887;80.5;745;14.51;0;20:57:40:964;;
43.565;88.5;678;14.64;0;20:57:41:498;;
44.293;82.4;728;14.69;0;20:57:42:039;;
45.041;80.2;748;14.68;0;20:57:43:122;;
45.826;76.4;785;14.61;0;20:57:43:658;;
46.637;74.0;811;14.42;0;20:57:44:751;;
47.443;74.4;806;14.19;0;20:57:45:277;;
48.197;79.6;754;13.90;0;20:57:45:838;;
48.900;85.3;703;13.49;0;20:57:46:898;;
49.586;87.5;686;13.13;0;20:57:47:438;;
50.260;89.0;674;12.89;0;20:57:47:980;;
50.910;92.3;650;12.74;0;20:57:48:521;;
51.528;97.1;618;12.91;0;20:57:49:602;;
52.176;92.6;648;13.05;0;20:57:50:137;;
52.870;86.5;694;13.10;0;20:57:50:680;;
53.637;78.2;767;13.04;0;20:57:51:221;;
54.438;74.9;801;13.12;0;20:57:52:329;;
55.196;79.2;758;13.36;0;20:57:52:843;;
55.947;79.9;751;13.67;0;20:57:53:958;;
56.717;77.9;770;14.24;0;20:57:54:458;;
57.511;75.6;794;15.01;0;20:57:55:538;;
58.332;73.1;821;15.72;0;20:57:56:078;;
59.054;83.1;722;16.55;0;20:57:56:623;;
59.551;120.7;497;16.93;0;20:57:57:701;;
60.268;83.7;717;16.55;0;20:57:58:237;;
60.967;85.8;699;15.46;0;20:57:59:320;;
61.647;88.2;680;12.86;0;20:57:59:857;;
62.302;91.6;655;10.31;0;20:58:00:406;;
62.963;90.8;661;11.97;0;20:58:00:948;;
63.629;90.1;666;16.26;0;20:58:01:477;;
64.298;89.7;669;21.81;0;20:58:02:020;;
64.929;95.1;631;27.95;0;20:58:03:103;;
65.569;93.8;640;30.36;0;20:58:03:642;;
66.215;92.9;646;30.97;0;20:58:04:177;;
66.874;91.0;659;30.97;0;20:58:04:723;;
67.515;93.6;641;30.97;0;20:58:05:260;;
68.184;89.7;669;30.97;0;20:58:06:340;;
68.909;82.8;725;30.97;0;20:58:06:886;;
69.695;76.3;786;30.97;0;20:58:07:962;;
70.517;73.0;822;30.97;0;20:58:08:497;;
71.339;73.0;822;30.97;0;20:58:09:577;;
72.154;73.6;815;30.97;0;20:58:10:118;;
72.906;79.8;752;30.97;0;20:58:11:204;;
73.603;86.1;697;30.97;0;20:58:11:738;;
74.286;87.8;683;31.00;0;20:58:12:276;;
74.969;87.8;683;31.19;0;20:58:12:819;;
75.676;84.9;707;31.43;0;20:58:13:899;;
76.426;80.0;750;31.68;0;20:58:14:440;;
77.173;80.3;747;32.02;0;20:58:14:977;;
77.960;76.2;787;31.63;0;20:58:16:060;;
78.888;64.7;928;30.62;0;20:58:17:141;;
79.847;62.6;959;29.36;0;20:58:18:219;;
80.802;62.8;955;28.45;0;20:58:18:757;;
81.714;65.8;912;27.47;0;20:58:19:862;;
82.636;65.1;922;26.63;0;20:58:20:919;;
83.556;65.2;920;26.04;0;20:58:21:462;;
84.490;64.2;934;24.72;0;20:58:22:538;;
85.348;69.9;858;23.16;0;20:58:23:627;;
86.172;72.8;824;22.17;0;20:58:24:156;;
87.015;71.2;843;21.42;0;20:58:25:262;;
87.851;71.8;836;20.89;0;20:58:25:777;;
88.673;73.0;822;20.52;0;20:58:26:857;;
89.427;79.6;754;20.29;0;20:58:27:401;;
90.189;78.7;762;20.16;0;20:58:28:479;;
90.886;86.1;697;20.06;0;20:58:29:018;;
91.540;91.7;654;19.99;0;20:58:29:556;;
92.204;90.4;664;19.94;0;20:58:30:102;;
92.894;87.0;690;19.90;0;20:58:31:207;;
93.652;79.2;758;19.87;0;20:58:31:725;;
94.487;71.9;835;19.87;0;20:58:32:805;;
95.357;69.0;870;19.97;0;20:58:33:337;;
96.219;69.6;862;20.07;0;20:58:34:419;;
97.109;67.4;890;20.22;0;20:58:35:501;;
98.002;67.2;893;20.45;0;20:58:36:044;;
98.885;68.0;883;20.70;0;20:58:37:120;;
99.753;69.1;868;21.16;0;20:58:37:656;;
100.579;72.6;826;21.64;0;20:58:38:738;;
101.388;74.2;809;22.21;0;20:58:39:283;;
102.216;72.5;828;22.83;0;20:58:40:358;;
103.067;70.5;851;23.44;0;20:58:40:907;;
103.874;74.3;807;24.01;0;20:58:41:979;;
104.641;78.2;767;24.50;0;20:58:42:520;;
105.404;78.6;763;24.93;0;20:58:43:616;;
106.200;75.4;796;25.29;0;20:58:44:137;;
107.028;72.5;828;25.58;0;20:58:45:233;;
107.825;75.3;797;25.86;0;20:58:45:756;;
108.645;73.2;820;25.98;0;20:58:46:860;;
109.463;73.3;818;25.80;0;20:58:47:376;;
110.254;75.9;791;25.42;0;20:58:48:460;;
110.998;80.6;744;24.91;0;20:58:49:015;;
111.758;78.9;760;24.27;0;20:58:50:079;;
112.548;75.9;790;23.47;0;20:58:50:617;;
113.372;72.8;824;22.51;0;20:58:51:699;;
114.178;74.4;806;20.80;0;20:58:52:235;;
114.945;78.2;767;18.74;0;20:58:52:776;;
115.718;77.6;773;16.45;0;20:58:53:862;;
116.527;74.2;809;13.78;0;20:58:54:400;;
117.352;72.7;825;11.28;0;20:58:55:479;;
118.183;72.2;831;8.46;0;20:58:56:595;;
118.968;76.4;785;6.97;0;20:58:57:105;;
119.767;75.1;799;6.14;0;20:58:57:642;;
120.551;76.5;784;5.67;0;20:58:59:263;;
121.317;78.3;766;5.22;0;20:58:59:290;;
122.031;84.0;714;5.09;0;20:59:00:335;;
122.741;84.5;710;5.10;0;20:59:00:875;;
123.483;80.9;742;5.22;0;20:59:01:415;;
124.294;74.0;811;5.44;0;20:59:02:504;;
125.106;73.9;812;5.74;0;20:59:03:035;;
125.919;73.8;813;6.20;0;20:59:04:117;;
126.751;72.1;832;6.77;0;20:59:04:657;;
