Device: Apple iPhone11,8; eSense app version: 4.9.0; ios version: 14.0;
DESCRIPCIÓN
NOMBRE DE LA GRABACIÓN;ro-07012021-hr;;;;;;
eSense Pulse:;0000387;;;;;;
FECHA (HH:MM:SS);07.01.21 19:44:36;;;;;;
TIEMPO (HH:MM:SS);00:15:56;;;;;;
MÁXIMO;105.6 HR;;;;;;
MÍNIMO;57.5 HR;;;;;;
DIFERENCIA MIN/MAX;48.1 HR;;;;;;
MEDIA DE LA SESIÓN;83.4 HR;;;;;;
;;;;;;;
SDNN;57.190 ms;;;;;;
RMSSD;28.929 ms;;;;;;
NN50;96;;;;;;
PNN50;7.289 %;;;;;;
ÍNDICE DE ESTRÉS;48.980;;;;;;
RR PROMEDIO;723.9 ms;;;;;;
HR PROMEDIO;82.9 HR;;;;;;
VALORES DE HR CORREGIDOS;0;;;;;;
VALORES DE HR CORREGIDOS EN%;0.0 %;;;;;;
CORAZONES ROJOS;54;;;;;;
CORAZONES RARANJAS;48;;;;;;
CORAZONES AMAARILLOS;53;;;;;;
CORAZONES VERDES;36;;;;;;
;;;;;;;
ESTADÍSTICAS;;;;;;;
SEGUNDO;RITMO CARDIACO;RR;AMPLITUD HRV;UNIFORMIDAD;MARCAS DE TIEMPO;MARCADOR;
107.124;90.1;666;10.12;82.59;19:46:28:400;;
107.799;88.9;675;9.80;87.63;19:46:28:937;;
108.478;88.4;679;9.52;92.03;19:46:30:019;;
109.185;84.9;707;9.28;96.47;19:46:30:560;;
109.896;84.4;711;9.16;99.19;19:46:31:100;;
110.596;85.7;700;9.09;98.00;19:46:31:637;;
111.324;82.4;728;9.12;96.13;19:46:32:719;;
112.069;80.5;745;9.20;95.33;19:46:33:256;;
112.813;80.6;744;9.41;95.09;19:46:34:339;;
113.556;80.8;743;9.59;95.33;19:46:34:903;;
114.240;87.7;684;9.81;95.65;19:46:35:418;;
114.908;89.8;668;9.95;95.90;19:46:35:957;;
115.562;91.7;654;10.07;96.14;19:46:37:039;;
116.209;92.7;647;10.16;96.38;19:46:37:583;;
116.862;91.9;653;10.25;96.70;19:46:38:116;;
117.516;91.7;654;10.30;96.99;19:46:38:657;;
118.207;86.8;691;10.33;97.26;19:46:39:199;;
118.917;84.5;710;10.37;97.44;19:46:40:280;;
119.695;77.1;778;10.40;97.52;19:46:40:831;;
120.478;76.6;783;10.43;97.51;19:46:41:913;;
121.278;75.0;800;10.44;97.44;19:46:42:437;;
122.041;78.6;763;10.48;97.27;19:46:42:986;;
122.748;84.9;707;10.55;97.12;19:46:44:060;;
123.440;86.7;692;10.76;96.93;19:46:44:598;;
124.126;87.5;686;11.00;96.78;19:46:45:680;;
124.820;86.5;694;11.43;96.59;19:46:46:216;;
125.534;84.0;714;12.04;96.27;19:46:46:756;;
126.251;83.7;717;12.66;95.73;19:46:47:298;;
126.944;86.6;693;13.16;94.97;19:46:48:382;;
127.670;82.6;726;13.43;94.26;19:46:48:917;;
128.410;81.1;740;13.66;93.13;19:46:49:457;;
129.199;76.0;789;13.74;91.89;19:46:50:543;;
129.936;81.4;737;13.69;90.99;19:46:51:102;;
130.632;86.2;696;13.47;89.80;19:46:52:157;;
131.322;87.0;690;13.20;88.91;19:46:52:700;;
132.005;87.8;683;12.71;87.72;19:46:53:236;;
132.695;87.0;690;12.25;86.84;19:46:54:343;;
133.398;85.3;703;11.70;86.16;19:46:54:856;;
134.127;82.3;729;11.29;85.97;19:46:55:399;;
134.815;87.2;688;10.81;86.29;19:46:55:937;;
