ESTADÍSTICAS;;;;;;;;
SEGUNDO;RITMO CARDIACO;RR;AMPLITUD HRV;UNIFORMIDAD;LF + HF;MARCAS DE TIEMPO;MARCADOR;
105.027;72.3;830;8.80;10.68;N.a.;18:58:20:693;;
105.886;69.8;859;7.74;99.46;N.a.;18:58:21:787;;
106.771;67.8;885;8.40;39.67;N.a.;18:58:22:331;;
107.629;69.9;858;8.89;28.07;N.a.;18:58:23:453;;
108.437;74.3;808;9.30;28.07;N.a.;18:58:23:984;;
109.227;75.9;790;9.32;35.08;N.a.;18:58:25:117;;
110.020;75.7;793;9.22;42.34;N.a.;18:58:25:617;;
110.857;71.7;837;8.94;58.13;N.a.;18:58:26:726;;
111.645;76.1;788;8.35;77.73;N.a.;18:58:27:265;;
112.346;85.6;701;7.36;96.10;N.a.;18:58:27:810;;
113.061;83.9;715;6.90;72.13;N.a.;18:58:28:924;;
113.816;79.5;755;7.31;77.08;N.a.;18:58:29:448;;
114.634;73.3;818;9.54;81.72;N.a.;18:58:29:996;;
115.438;74.6;804;11.40;52.46;N.a.;18:58:31:094;;
116.229;75.9;791;11.56;50.00;N.a.;18:58:31:646;;
117.059;72.3;830;11.56;50.00;N.a.;18:58:32:736;;
117.898;71.5;839;11.69;50.00;N.a.;18:58:33:282;;
118.732;71.9;834;12.00;50.00;1.7866;18:58:34:375;;
119.518;76.3;786;12.25;51.64;N.a.;18:58:34:927;;
120.265;80.3;747;12.04;64.13;N.a.;18:58:36:024;;
121.038;77.6;773;11.75;78.01;N.a.;18:58:36:566;;
121.835;75.3;797;11.45;92.73;N.a.;18:58:37:113;;
122.670;71.9;835;10.96;84.83;1.7400;18:58:38:209;;
123.475;74.5;805;10.05;53.22;1.6857;18:58:38:765;;
124.270;75.5;795;8.12;23.73;N.a.;18:58:39:851;;
125.107;71.7;837;5.83;24.79;N.a.;18:58:40:400;;
125.968;69.7;861;4.32;66.18;N.a.;18:58:41:496;;
126.870;66.5;902;3.77;78.83;1.7700;18:58:42:047;;
127.717;70.8;847;4.56;47.47;1.8426;18:58:43:136;;
128.549;72.1;832;5.71;46.15;N.a.;18:58:43:686;;
129.384;71.9;835;6.56;46.15;N.a.;18:58:44:783;;
130.222;71.6;838;7.27;46.15;N.a.;18:58:45:328;;
131.040;73.3;818;7.47;46.15;1.6400;18:58:46:443;;
131.791;79.9;751;7.60;50.63;1.4370;18:58:46:968;;
132.531;81.1;740;7.96;62.53;N.a.;18:58:47:519;;
133.313;76.7;782;8.29;73.42;N.a.;18:58:48:613;;
134.158;71.0;845;8.77;89.60;N.a.;18:58:49:166;;
135.020;69.6;862;9.33;92.01;1.4500;18:58:50:253;;
135.851;72.2;831;9.81;76.05;1.4729;18:58:50:809;;
136.716;69.4;865;10.21;62.15;N.a.;18:58:51:900;;
137.588;68.8;872;10.58;48.47;N.a.;18:58:52:994;;
138.406;73.3;818;10.94;34.09;N.a.;18:58:53:544;;
139.162;79.4;756;11.49;11.56;1.5300;18:58:54:085;;
139.943;76.8;781;11.67;2.78;1.5862;18:58:55:192;;
140.746;74.7;803;11.68;1.40;N.a.;18:58:55:733;;
141.613;69.2;867;11.51;7.41;N.a.;18:58:56:828;;
142.450;71.7;837;11.04;24.71;N.a.;18:58:57:376;;
143.297;70.8;847;10.62;40.26;1.5900;18:58:57:936;;
144.152;70.2;855;10.22;55.82;1.5911;18:58:59:032;;
145.016;69.4;864;9.84;71.37;N.a.;18:59:00:112;;
145.815;75.1;799;9.57;82.82;N.a.;18:59:00:661;;
146.616;74.9;801;9.27;95.35;N.a.;18:59:01:766;;
147.431;73.6;815;9.05;95.58;1.6700;18:59:02:297;;
148.183;79.8;752;8.88;89.96;1.7433;18:59:02:845;;
148.963;76.9;780;8.79;88.02;N.a.;18:59:03:942;;
149.722;79.1;759;8.71;87.80;N.a.;18:59:04:494;;
150.485;78.6;763;8.65;87.91;N.a.;18:59:05:035;;
151.192;84.9;707;8.71;89.06;1.7100;18:59:06:133;;
151.916;82.9;724;8.82;90.81;1.6847;18:59:06:677;;
152.707;75.9;791;8.96;93.14;N.a.;18:59:07:227;;
153.570;69.5;863;9.15;96.29;N.a.;18:59:08:320;;
154.393;72.9;823;9.38;99.98;N.a.;18:59:08:877;;
155.172;77.0;779;9.64;95.83;1.6100;18:59:09:966;;
155.976;74.6;804;10.04;89.67;1.5287;18:59:10:510;;
156.784;74.3;808;10.55;81.29;N.a.;18:59:11:605;;
157.552;78.1;768;10.82;76.63;N.a.;18:59:12:152;;
158.324;77.7;772;11.03;73.09;N.a.;18:59:13:802;;
159.113;76.0;789;11.31;68.25;1.5800;18:59:13:829;;
159.909;75.4;796;11.85;59.42;1.6333;18:59:14:347;;
160.666;79.3;757;12.17;54.55;N.a.;18:59:15:437;;
161.401;81.6;735;12.32;52.37;N.a.;18:59:15:984;;
162.202;74.9;801;12.37;52.17;N.a.;18:59:16:532;;
163.028;72.6;826;12.30;54.67;1.7000;18:59:17:631;;
163.878;70.6;850;12.13;58.86;1.7704;18:59:18:179;;
164.696;73.3;818;11.86;64.89;N.a.;18:59:19:274;;
165.564;69.1;868;11.60;71.58;N.a.;18:59:20:369;;
166.435;68.9;871;11.39;78.18;N.a.;18:59:20:912;;
167.272;71.7;837;11.03;88.88;1.7900;18:59:22:028;;
168.060;76.1;788;10.62;99.29;1.8052;18:59:22:570;;
168.872;73.9;812;10.11;93.11;N.a.;18:59:23:110;;
169.693;73.1;821;9.25;84.44;N.a.;18:59:24:202;;
170.504;74.0;811;7.97;77.90;N.a.;18:59:24:745;;
171.274;77.9;770;6.20;69.62;1.8700;18:59:25:839;;
172.077;74.7;803;4.24;59.86;1.9321;18:59:26:397;;
172.894;73.4;817;3.23;49.29;N.a.;18:59:26:934;;
173.703;74.2;809;3.32;40.21;N.a.;18:59:28:052;;
174.506;74.7;803;3.68;37.84;N.a.;18:59:28:577;;
175.349;71.2;843;4.19;37.84;1.8900;18:59:29:683;;
176.185;71.8;836;4.56;41.90;1.8394;18:59:30:229;;
176.958;77.6;773;4.72;54.76;N.a.;18:59:31:318;;
177.735;77.2;777;4.89;69.53;N.a.;18:59:31:862;;
178.528;75.7;793;5.09;91.98;N.a.;18:59:32:957;;
179.340;73.9;812;5.16;81.52;1.7700;18:59:33:509;;
180.166;72.6;826;4.95;49.90;1.6865;18:59:34:058;;
180.948;76.7;782;4.41;37.63;N.a.;18:59:35:150;;
181.762;73.7;814;3.83;53.79;N.a.;18:59:35:694;;
182.588;72.6;826;3.08;84.91;N.a.;18:59:36:791;;
183.428;71.4;840;3.39;59.07;1.6500;18:59:37:349;;
184.214;76.3;786;4.13;67.71;1.6199;18:59:38:436;;
184.963;80.1;749;5.25;83.77;N.a.;18:59:38:981;;
185.731;78.1;768;6.06;96.68;N.a.;18:59:40:650;;
186.530;75.1;799;6.73;91.39;N.a.;18:59:40:655;;
187.374;71.1;844;7.17;84.29;1.7200;18:59:41:174;;
188.195;73.1;821;7.50;82.35;1.8134;18:59:42:269;;
189.049;70.3;854;7.92;82.35;N.a.;18:59:42:815;;
189.919;69.0;870;8.42;82.35;N.a.;18:59:43:906;;
190.759;71.4;840;8.80;82.35;N.a.;18:59:44:459;;
191.549;75.9;790;9.28;82.35;1.8000;18:59:45:554;;
192.329;76.9;780;9.45;79.01;1.7836;18:59:46:103;;
193.104;77.4;775;9.61;72.62;N.a.;18:59:46:644;;
193.851;80.3;747;9.69;68.76;N.a.;18:59:47:754;;
194.593;80.9;742;9.90;60.57;N.a.;18:59:48:292;;
195.380;76.2;787;9.97;51.20;1.7800;18:59:49:384;;
196.204;72.8;824;9.88;37.81;1.7849;18:59:49:928;;
197.026;73.0;822;9.40;31.73;N.a.;18:59:50:477;;
197.788;78.7;762;8.42;35.65;N.a.;18:59:52:118;;
198.570;76.7;782;6.76;59.39;N.a.;18:59:52:674;;
199.362;75.8;792;4.86;92.69;1.8700;18:59:53:223;;
200.162;75.0;800;3.74;61.40;1.9483;18:59:53:761;;
200.902;81.1;740;3.50;66.80;N.a.;18:59:54:310;;
201.694;75.8;792;3.77;73.86;N.a.;18:59:55:403;;
202.491;75.3;797;3.89;77.01;N.a.;18:59:55:954;;
203.227;81.5;736;4.45;78.57;1.9000;18:59:56:498;;
204.012;76.4;785;5.98;78.57;1.8505;18:59:57:600;;
204.839;72.6;827;6.43;84.40;N.a.;18:59:58:147;;
205.691;70.4;852;6.26;96.87;N.a.;18:59:59:240;;
206.499;74.3;808;5.56;84.15;N.a.;18:59:59:787;;
207.316;73.4;817;4.85;66.06;1.8000;19:00:00:882;;
208.147;72.2;831;4.19;51.74;1.7485;19:00:01:426;;
208.988;71.3;841;3.19;33.00;N.a.;19:00:02:525;;
209.769;76.8;781;3.00;26.77;N.a.;19:00:03:082;;
210.500;82.1;731;4.24;38.30;N.a.;19:00:04:166;;
211.234;81.7;734;5.71;52.93;1.8800;19:00:04:715;;
211.983;80.1;749;7.59;71.22;2.0239;19:00:05:258;;
212.749;78.3;766;9.02;84.76;N.a.;19:00:06:366;;
213.543;75.6;794;10.20;92.81;N.a.;19:00:07:455;;
214.418;68.6;875;11.17;95.00;N.a.;19:00:07:997;;
215.330;65.8;912;12.17;95.00;1.8500;19:00:08:542;;
216.211;68.1;881;13.16;95.00;1.6889;19:00:09:643;;
217.071;69.8;860;14.16;95.00;N.a.;19:00:10:736;;
217.943;68.8;872;14.76;95.00;N.a.;19:00:11:281;;
218.787;71.1;844;15.20;95.00;N.a.;19:00:11:828;;
219.546;79.1;759;15.28;95.00;1.6600;19:00:12:927;;
220.298;79.8;752;15.28;95.00;1.6256;19:00:13:478;;
221.052;79.6;754;15.26;91.52;N.a.;19:00:14:565;;
221.786;81.7;734;15.22;83.80;N.a.;19:00:15:131;;
222.552;78.3;766;15.16;73.50;N.a.;19:00:15:660;;
223.287;81.6;735;15.12;67.64;1.6900;19:00:16:775;;
