Device: samsung SM-G950U1; eSense app version: 4.9.0; android version: 9;
DESCRIPCIÓN
NOMBRE DE LA GRABACIÓN;HRV-Grabación-15112020-164827;;;;;;
eSense Pulse:;0000387;;;;;;
FECHA (HH:MM:SS);15.11.20 16:48:27;;;;;;
TIEMPO (HH:MM:SS);00:05:10;;;;;;
MÁXIMO;89.7 HR;;;;;;
MÍNIMO;62.9 HR;;;;;;
DIFERENCIA MIN/MAX;26.8 HR;;;;;;
MEDIA DE LA SESIÓN;72.37 HR;;;;;;
;;;;;;;
SDNN;61.316 ms;;;;;;
RMSSD;33.049 ms;;;;;;
NN50;46;;;;;;
PNN50;12.366 %;;;;;;
ÍNDICE DE ESTRÉS;70.252;;;;;;
RR PROMEDIO;833.8 ms;;;;;;
HR PROMEDIO;72.0 HR;;;;;;
VALORES DE HR CORREGIDOS;0;;;;;;
VALORES DE HR CORREGIDOS EN%;0.0 %;;;;;;
CORAZONES ROJOS;16;;;;;;
CORAZONES RARANJAS;13;;;;;;
CORAZONES AMAARILLOS;18;;;;;;
CORAZONES VERDES;15;;;;;;
;;;;;;;
ESTADÍSTICAS;;;;;;;
SEGUNDO;RITMO CARDIACO;RR;AMPLITUD HRV;UNIFORMIDAD;MARCAS DE TIEMPO;MARCADOR;
188.856;72.6;827;3.74;68.42;16:51:40:611;;
189.669;73.8;813;4.05;66.27;16:51:41:721;;
190.419;80.0;750;4.55;62.74;16:51:42:258;;
191.157;81.3;738;5.22;58.00;16:51:42:808;;
191.899;80.9;742;5.80;53.85;16:51:43:908;;
192.646;80.3;747;6.60;47.82;16:51:44:459;;
193.363;83.7;717;7.60;40.21;16:51:45:546;;
194.081;83.6;718;9.00;30.67;16:51:46:084;;
194.845;78.5;764;9.99;26.28;16:51:46:634;;
195.653;74.3;808;10.94;27.89;16:51:47:751;;
196.526;68.7;873;11.41;40.68;16:51:48:274;;
197.366;71.4;840;10.45;62.84;16:51:49:385;;
198.150;76.5;784;7.38;88.48;16:51:49:926;;
198.969;73.3;819;5.40;63.24;16:51:51:025;;
199.789;73.2;820;4.09;58.44;16:51:51:565;;
200.616;72.6;827;3.64;67.80;16:51:52:672;;
201.452;71.8;836;3.53;77.15;16:51:53:756;;
202.280;72.5;828;4.05;90.84;16:51:54:301;;
203.073;75.7;793;4.34;94.65;16:51:55:405;;
203.899;72.6;826;4.38;93.14;16:51:55:951;;
204.772;68.7;873;4.12;92.27;16:51:56:501;;
205.669;66.9;897;3.87;91.52;16:51:57:613;;
206.546;68.4;877;3.94;92.45;16:51:58:681;;
207.386;71.4;840;4.19;95.71;16:51:59:231;;
208.272;67.7;886;4.42;99.86;16:52:00:332;;
209.183;65.9;911;4.56;94.94;16:52:02:529;;
210.102;65.3;919;4.57;88.97;16:52:02:554;;
211.006;66.4;904;4.38;87.17;16:52:03:066;;
211.856;70.6;850;4.31;94.49;16:52:03:613;;
212.705;70.7;849;4.43;94.44;16:52:04:706;;
213.595;67.4;890;4.78;83.76;16:52:05:804;;
214.486;67.3;891;5.09;76.04;16:52:06:362;;
215.361;68.6;875;5.22;75.66;16:52:07:988;;
216.176;73.6;815;5.55;79.90;16:52:08:540;;
217.025;70.7;849;5.80;85.45;16:52:09:108;;
217.911;67.7;886;5.96;96.37;16:52:09:629;;
218.806;67.0;895;5.64;91.82;16:52:10:745;;
219.686;68.2;880;4.92;88.60;16:52:11:819;;
220.479;75.7;793;3.62;98.93;16:52:12:364;;
221.284;74.5;805;3.22;85.52;16:52:13:467;;
222.104;73.2;820;3.75;74.91;16:52:14:006;;
222.936;72.1;832;5.15;70.83;16:52:15:116;;
223.750;73.7;814;6.40;70.83;16:52:15:664;;
224.527;77.2;777;7.66;70.83;16:52:16:754;;
225.357;72.3;830;8.52;70.83;16:52:17:300;;
226.223;69.3;866;8.76;70.83;16:52:18:400;;
227.121;66.8;898;8.78;73.76;16:52:18:934;;
228.007;67.7;886;8.85;83.70;16:52:20:036;;
228.862;70.2;855;8.96;96.81;16:52:21:134;;
229.718;70.1;856;9.05;90.33;16:52:21:671;;
230.571;70.3;853;9.18;72.76;16:52:22:789;;
231.431;69.8;860;9.33;46.75;16:52:23:322;;
232.238;74.3;807;9.03;21.21;16:52:24:413;;
233.003;78.4;765;7.41;23.38;16:52:24:971;;
233.798;75.5;795;4.85;81.04;16:52:26:051;;
234.635;71.7;837;2.97;68.02;16:52:26:601;;
235.532;66.9;897;2.50;56.70;16:52:27:694;;
236.403;68.9;871;2.44;58.90;16:52:28:790;;
237.234;72.2;831;2.20;62.89;16:52:29:336;;
238.103;69.0;869;2.22;74.47;16:52:30:440;;
238.956;70.3;853;2.53;96.13;16:52:30:994;;
239.772;73.5;816;2.84;85.92;16:52:32:639;;
240.614;71.3;842;3.86;64.54;16:52:32:661;;
241.456;71.3;842;5.11;55.37;16:52:33:174;;
242.296;71.4;840;6.24;53.83;16:52:34:273;;
243.117;73.1;821;6.44;53.77;16:52:35:363;;
243.907;75.9;790;6.59;53.66;16:52:35:905;;
244.736;72.4;829;6.31;53.50;16:52:37:009;;
245.616;68.2;880;5.73;53.51;16:52:37:553;;
246.534;65.4;918;4.27;61.12;16:52:38:659;;
247.449;65.6;915;3.26;76.85;16:52:39:742;;
248.324;68.6;875;3.41;97.76;16:52:40:286;;
249.190;69.3;866;4.31;78.87;16:52:41:388;;
250.072;68.0;882;5.11;70.45;16:52:41:934;;
250.967;67.0;895;5.29;76.19;16:52:43:051;;
251.854;67.6;887;5.17;84.13;16:52:44:134;;
252.694;71.4;840;4.62;92.06;16:52:44:675;;
253.540;70.9;846;3.78;98.68;16:52:45:775;;
254.468;64.7;928;3.26;98.63;16:52:46:318;;
255.403;64.2;935;3.32;95.14;16:52:47:412;;
256.267;69.4;864;3.38;89.62;16:52:48:503;;
257.148;68.1;881;3.47;80.31;16:52:49:055;;
258.057;66.0;909;3.33;71.68;16:52:50:148;;
258.967;65.9;910;3.30;72.56;16:52:50:690;;
259.856;67.5;889;2.97;96.66;16:52:51:800;;
260.697;71.3;841;3.23;74.64;16:52:52:892;;
261.531;71.9;834;3.92;59.45;16:52:53:431;;
262.373;71.3;842;4.33;61.00;16:52:54:529;;
263.229;70.1;856;4.57;69.71;16:52:56:166;;
264.089;69.8;860;4.71;83.23;16:52:56:184;;
264.910;73.1;821;4.86;99.03;16:52:57:259;;
265.726;73.5;816;4.89;84.42;16:52:57:813;;
266.572;70.9;846;4.84;73.56;16:52:58:369;;
267.447;68.6;875;4.73;66.40;16:52:59:459;;
268.341;67.1;894;4.60;67.93;16:53:00:545;;
269.179;71.6;838;4.37;72.56;16:53:01:098;;
270.002;72.9;823;4.07;77.30;16:53:02:188;;
270.866;69.4;864;3.68;82.03;16:53:03:288;;
271.746;68.2;880;3.27;86.47;16:53:03:829;;
272.642;67.0;896;3.00;89.44;16:53:04:375;;
273.531;67.5;889;3.02;90.47;16:53:05:472;;
274.371;71.4;840;3.37;90.02;16:53:06:574;;
275.231;69.8;860;3.76;89.52;16:53:07:113;;
276.106;68.6;875;4.44;88.89;16:53:08:235;;
276.989;68.0;883;5.12;88.38;16:53:09:306;;
277.822;72.0;833;5.85;87.94;16:53:09:850;;
278.626;74.6;804;6.45;87.65;16:53:10:967;;
279.454;72.5;828;6.79;87.28;16:53:11:492;;
280.270;73.5;816;6.93;86.49;16:53:12:056;;
281.113;71.2;843;7.02;85.26;16:53:13:161;;
282.007;67.1;894;7.00;83.52;16:53:14:240;;
282.918;65.9;911;6.38;78.39;16:53:15:334;;
283.825;66.2;907;5.57;79.12;16:53:15:875;;
284.684;69.8;859;4.81;86.39;16:53:16:972;;
285.568;67.9;884;4.22;99.20;16:53:18:076;;
286.421;70.3;853;3.97;79.77;16:53:18:613;;
287.247;72.6;826;4.05;67.68;16:53:19:159;;
288.103;70.1;856;4.09;66.05;16:53:20:283;;
288.970;69.2;867;4.01;74.02;16:53:21:354;;
289.843;68.7;873;4.02;81.40;16:53:21:900;;
290.687;71.1;844;4.13;88.60;16:53:23:550;;
291.496;74.2;809;4.28;92.83;16:53:24:649;;
292.340;71.1;844;4.42;96.11;16:53:25:190;;
293.201;69.7;861;4.61;99.15;16:53:25:200;;
294.070;69.0;869;4.71;97.00;16:53:26:290;;
294.910;71.4;840;4.62;92.90;16:53:27:376;;
295.718;74.3;808;4.26;88.00;16:53:27:921;;
296.575;70.0;857;3.94;87.34;16:53:29:024;;
297.450;68.6;875;3.89;94.93;16:53:29:566;;
298.329;68.3;879;4.22;96.36;16:53:30:670;;
299.164;71.9;835;4.22;0;16:53:31:208;;
299.972;74.3;808;4.22;0;16:53:32:311;;
300.793;73.1;821;4.22;0;16:53:32:846;;
301.628;71.9;835;4.22;0;16:53:33:977;;
302.471;71.2;843;4.22;0;16:53:34:494;;
303.279;74.3;808;4.22;0;16:53:35:598;;
304.046;78.2;767;4.22;0;16:53:36:133;;
304.846;75.0;800;4.22;0;16:53:37:244;;
305.674;72.5;828;4.22;0;16:53:37:772;;
306.503;72.4;829;4.22;0;16:53:38:881;;
307.355;70.4;852;4.22;0;16:53:39:430;;
308.207;70.4;852;4.22;0;16:53:40:518;;
309.064;70.0;857;4.22;0;16:53:41:057;;
