Device: samsung SM-G991B; eSense app version: 4.9.0; android version: 11;
DESCRIPCIÓN
NOMBRE DE LA GRABACIÓN;mati-25-04-2021;;;;;;
eSense Pulse:;0000387;;;;;;
FECHA (HH:MM:SS);25.04.21 11:52:23;;;;;;
TIEMPO (HH:MM:SS);00:12:36;;;;;;
MÁXIMO;90.8 HR;;;;;;
MÍNIMO;62.2 HR;;;;;;
DIFERENCIA MIN/MAX;28.6 HR;;;;;;
MEDIA DE LA SESIÓN;74.05 HR;;;;;;
;;;;;;;
SDNN;58.443 ms;;;;;;
RMSSD;28.205 ms;;;;;;
NN50;77;;;;;;
PNN50;8.324 %;;;;;;
ÍNDICE DE ESTRÉS;66.651;;;;;;
RR PROMEDIO;814.5 ms;;;;;;
HR PROMEDIO;73.7 HR;;;;;;
VALORES DE HR CORREGIDOS;0;;;;;;
VALORES DE HR CORREGIDOS EN%;0.0 %;;;;;;
CORAZONES ROJOS;58;;;;;;
CORAZONES RARANJAS;24;;;;;;
CORAZONES AMAARILLOS;45;;;;;;
CORAZONES VERDES;24;;;;;;
;;;;;;;
ESTADÍSTICAS;;;;;;;
SEGUNDO;RITMO CARDIACO;RR;AMPLITUD HRV;UNIFORMIDAD;MARCAS DE TIEMPO;MARCADOR;
180.113;74.9;801;7.67;23.95;11:55:29:644;;
180.917;74.6;804;7.84;33.64;11:55:30:192;;
181.722;74.5;805;7.98;46.28;11:55:31:292;;
182.512;75.9;790;7.81;63.24;11:55:32:386;;
183.281;78.0;769;7.10;86.52;11:55:32:930;;
184.079;75.2;798;6.22;95.65;11:55:33:478;;
184.918;71.5;839;5.37;80.33;11:55:34:028;;
185.768;70.6;850;4.80;67.89;11:55:35:119;;
186.609;71.3;841;4.59;58.14;11:55:35:671;;
187.425;73.5;816;4.84;63.48;11:55:36:775;;
188.214;76.0;789;5.09;73.64;11:55:37:315;;
189.019;74.5;805;5.11;81.75;11:55:38:407;;
189.844;72.7;825;5.07;89.70;11:55:38:950;;
190.656;73.9;812;5.16;95.63;11:55:40:590;;
191.510;70.3;854;5.34;99.30;11:55:40:610;;
192.403;67.2;893;5.49;98.11;11:55:41:692;;
193.286;68.0;883;5.52;96.21;11:55:42:789;;
194.114;72.5;828;5.33;93.65;11:55:43:330;;
194.949;71.9;835;4.81;94.61;11:55:44:427;;
195.805;70.1;856;3.28;92.56;11:55:44:976;;
196.666;69.7;861;2.32;73.18;11:55:46:081;;
197.490;72.8;824;1.95;53.62;11:55:46:614;;
198.348;69.9;858;1.89;48.39;11:55:47:712;;
199.204;70.1;856;1.87;48.39;11:55:48:808;;
200.036;72.1;832;1.87;48.39;11:55:49:354;;
200.862;72.6;826;2.13;56.41;11:55:50:450;;
201.668;74.4;806;2.46;66.95;11:55:51:001;;
202.483;73.6;815;2.98;84.28;11:55:51:549;;
203.272;76.0;789;3.67;90.52;11:55:52:640;;
204.044;77.7;772;4.19;64.48;11:55:53:185;;
204.863;73.3;819;3.97;65.60;11:55:54:283;;
205.705;71.3;842;2.81;90.40;11:55:54:832;;
206.513;74.3;808;2.39;51.03;11:55:55:931;;
207.355;71.3;842;2.91;45.16;11:55:57:028;;
208.218;69.5;863;3.32;45.16;11:55:57:575;;
209.073;70.2;855;3.55;45.16;11:55:58:662;;
209.900;72.6;827;3.55;45.16;11:55:59:213;;
210.724;72.8;824;3.60;46.99;11:56:00:306;;
211.527;74.7;803;4.00;60.75;11:56:00:853;;
