Device: Apple iPhone11,8; eSense app version: 4.5.91; ios version: 13.3.1;
DESCRIPCIÓN;VALOR;RR;Amplitud HRV
NOMBRE DE LA GRABACIÓN;F3;;;;;;;
eSense Pulse:;0000387;;;;;;;
FECHA (HH:MM:SS);15.06.20 15:58:40;;;;;;;
TIEMPO (HH:MM:SS);00:28:48;;;;;;;
MÁXIMO;111.7 HR;;;;;;;
MÍNIMO;64.3 HR;;;;;;;
DIFERENCIA MIN/MAX;47.4 HR;;;;;;;
MEDIA DE LA SESIÓN;82.66 HR;;;;;;;
;;;;;;;;
SDNN;54.070 ms;;;;;;;
RMSSD;37.568 ms;;;;;;;
NN50;338;;;;;;;
PNN50;13.984 %;;;;;;;
ÍNDICE DE ESTRÉS;36.267;;;;;;;
RR PROMEDIO;730.8 ms;;;;;;;
HR PROMEDIO;82.1 HR;;;;;;;
VALORES DE HR CORREGIDOS;1;;;;;;;
VALORES DE HR CORREGIDOS EN%;0.0 %;;;;;;;
HF PROMEDIO;217.9813 ms2;;;;;;;
LF PROMEDIO;566.4074 ms2;;;;;;;
RELACIÓN LF/HF;2.5984;;;;;;;
CORAZONES ROJOS;61;;;;;;;
CORAZONES RARANJAS;64;;;;;;;
CORAZONES AMAARILLOS;128;;;;;;;
CORAZONES VERDES;92;;;;;;;
;;;;;;;;
69.198;89.6;670;1.84;78.69;N.a.;15:59:52:287;;
69.869;89.4;671;1.68;77.12;N.a.;15:59:52:836;;
70.549;88.2;680;1.68;74.08;N.a.;15:59:53:389;;
71.233;87.7;684;1.74;71.38;N.a.;15:59:53:936;;
71.897;90.4;664;1.93;75.81;N.a.;15:59:54:473;;
72.556;91.0;659;2.15;89.73;N.a.;15:59:55:589;;
73.248;86.7;692;2.78;78.50;N.a.;15:59:56:118;;
73.957;84.6;709;3.30;62.35;N.a.;15:59:56:672;;
74.635;88.5;678;3.74;62.36;N.a.;15:59:57:211;;
75.308;89.2;673;3.85;74.73;N.a.;15:59:58:305;;
76.003;86.3;695;3.81;87.09;N.a.;15:59:58:852;;
76.715;84.3;712;3.61;98.86;N.a.;15:59:59:402;;
77.410;86.3;695;3.50;94.07;N.a.;15:59:59:955;;
78.081;89.4;671;3.87;91.56;N.a.;16:00:01:046;;
78.712;95.1;631;4.90;89.31;N.a.;16:00:01:589;;
79.249;111.7;537;6.55;85.61;N.a.;16:00:02:142;;
79.895;92.9;646;9.48;78.90;N.a.;16:00:02:684;;
80.573;88.5;678;11.60;73.85;N.a.;16:00:03:238;;
81.265;86.7;692;13.70;68.57;N.a.;16:00:03:786;;
81.933;89.8;668;15.60;63.47;N.a.;16:00:04:334;;
82.577;93.2;644;16.82;59.64;N.a.;16:00:05:427;;
83.209;94.9;632;16.93;58.85;N.a.;16:00:05:969;;
83.842;94.8;633;16.10;60.04;N.a.;16:00:06:519;;
84.497;91.6;655;14.41;63.37;N.a.;16:00:07:080;;
85.203;85.0;706;13.05;66.19;N.a.;16:00:07:615;;
85.941;81.3;738;11.17;70.95;N.a.;16:00:08:712;;
86.671;82.2;730;9.86;77.47;N.a.;16:00:09:254;;
87.387;83.8;716;9.87;79.99;N.a.;16:00:09:802;;
88.052;90.2;665;10.23;81.90;N.a.;16:00:11:447;;
