Device: samsung SM-G970U1; eSense app version: 4.5.91; android version: 10;
DESCRIPTION;VALUE
RECORDING NAME;F3-skin;;;;
DATE (HH:MM:SS);15.06.20 15:59:57;;;;
TIME (HH:MM:SS);00:27:29;;;;
MAXIMUM;11.39 µS;;;;
MINIMUM;2.39 µS;;;;
DIFFERENCE MIN/MAX;9 µS;;;;
AVERAGE OF SESSION;5.97 µS;;;;
TIME INCREASE (HH:MM:SS);00:07:36;;;;
TIME STEADY (HH:MM:SS);00:01:31;;;;
TIME DECREASE (HH:MM:SS);00:18:21;;;;
;;;;;
TOTAL SCR;108;;;;
% of SCR OF SESSION;28.9%;;;;
Red hands;6;;;;
Orange hands;72;;;;
Yellow hands;169;;;;
Green hands;83;;;;
0-5 SCR/MIN (HH:MM:SS);00:20:17;;;;
6-9 SCR/MIN (HH:MM:SS);00:06:54;;;;
10-15 SCR/MIN (HH:MM:SS);00:00:20;;;;
>16 SCR/MIN (HH:MM:SS);00:00:00;;;;
STARS;0;;;;
STARS WITH RIBBON;0;;;;
;;;;;
WHAT IS YOUR POSITION?;SITTING ON A CHAIR;;;;
ELECTRODE TYPE:;VELCRO ELECTRODES;;;;
55.8;4.70;16:00:53:563;1;9;
56.0;4.73;16:00:53:763;1;9;
56.2;4.74;16:00:53:963;1;9;
56.4;4.74;16:00:54:163;1;9;
56.6;4.74;16:00:54:363;1;9;
56.8;4.72;16:00:54:563;1;9;
57.0;4.71;16:00:54:763;1;9;
57.2;4.68;16:00:54:963;1;10;
57.4;4.64;16:00:55:163;1;10;
57.6;4.63;16:00:55:363;1;10;
57.8;4.60;16:00:55:563;1;10;
58.0;4.55;16:00:55:763;1;10;
58.2;4.53;16:00:55:963;1;10;
58.4;4.48;16:00:56:163;1;10;
58.6;4.46;16:00:56:363;1;10;
58.8;4.45;16:00:56:563;1;10;
59.0;4.41;16:00:56:763;1;10;
59.2;4.38;16:00:56:963;1;10;
59.4;4.34;16:00:57:163;1;10;
59.6;4.31;16:00:57:363;1;10;
59.8;4.30;16:00:57:563;1;10;
60.0;4.29;16:00:57:763;1;10;
60.2;4.28;16:00:57:963;1;11;
60.4;4.25;16:00:58:163;1;11;
60.6;4.23;16:00:58:363;1;11;
60.8;4.21;16:00:58:563;1;11;
61.0;4.20;16:00:58:763;1;11;
61.2;4.19;16:00:58:963;1;11;
