Device: samsung SM-G970U1; eSense app version: 4.9.0; android version: 10;
DESCRIPTION;VALUE
RECORDING NAME;ro-07012021-skin;;;;
DATE (HH:MM:SS);07.01.21 19:44:35;;;;
TIME (HH:MM:SS);00:15:55;;;;
MAXIMUM;5.23 µS;;;;
MINIMUM;0.38 µS;;;;
DIFFERENCE MIN/MAX;4.85 µS;;;;
AVERAGE OF SESSION;2.59 µS;;;;
TIME INCREASE (HH:MM:SS);00:03:20;;;;
TIME STEADY (HH:MM:SS);00:00:40;;;;
TIME DECREASE (HH:MM:SS);00:11:54;;;;
;;;;;
TOTAL SCR;44;;;;
% of SCR OF SESSION;19.8%;;;;
Red hands;0;;;;
Orange hands;7;;;;
Yellow hands;122;;;;
Green hands;62;;;;
0-5 SCR/MIN (HH:MM:SS);00:15:01;;;;
6-9 SCR/MIN (HH:MM:SS);00:00:57;;;;
10-15 SCR/MIN (HH:MM:SS);00:00:00;;;;
>16 SCR/MIN (HH:MM:SS);00:00:00;;;;
STARS;0;;;;
STARS WITH RIBBON;0;;;;
;;;;;
STATISTICS;;;;;
SECOND;MICROSIEMENS;TIMESTAMP;SCR;SCR/MIN;MARKER
33.6;0.96;19:45:09:125;0;0;
33.8;0.97;19:45:09:325;0;0;
34.0;0.97;19:45:09:525;0;0;
34.2;0.97;19:45:09:725;0;0;
34.4;0.98;19:45:09:925;0;0;
34.6;0.98;19:45:10:125;0;0;
34.8;0.98;19:45:10:325;0;0;
35.0;0.98;19:45:10:525;0;0;
35.2;0.98;19:45:10:725;0;0;
35.4;0.98;19:45:10:925;0;0;
35.6;0.98;19:45:11:125;0;0;
35.8;0.98;19:45:11:325;0;0;
36.0;0.98;19:45:11:525;0;0;
36.2;0.98;19:45:11:725;0;0;
36.4;0.98;19:45:11:925;0;0;
36.6;0.98;19:45:12:125;0;0;
36.8;0.98;19:45:12:325;0;0;
37.0;0.98;19:45:12:525;0;0;
37.2;0.97;19:45:12:725;0;0;
37.4;0.97;19:45:12:925;0;0;
37.6;0.97;19:45:13:125;0;0;
37.8;0.98;19:45:13:325;0;0;
38.0;0.98;19:45:13:525;0;0;
38.2;0.98;19:45:13:725;0;0;
38.4;0.98;19:45:13:925;0;0;
38.6;0.98;19:45:14:125;0;0;
38.8;0.98;19:45:14:325;0;0;
39.0;0.98;19:45:14:525;0;0;
