Device: samsung SM-G970U1; eSense app version: 4.9.0; android version: 10;
DESCRIPTION;VALUE
RECORDING NAME;Recording-05012021-205648;;;;
DATE (HH:MM:SS);05.01.21 20:56:48;;;;
TIME (HH:MM:SS);00:11:21;;;;
MAXIMUM;5.79 µS;;;;
MINIMUM;2.65 µS;;;;
DIFFERENCE MIN/MAX;3.14 µS;;;;
AVERAGE OF SESSION;3.85 µS;;;;
TIME INCREASE (HH:MM:SS);00:02:39;;;;
TIME STEADY (HH:MM:SS);00:00:50;;;;
TIME DECREASE (HH:MM:SS);00:07:50;;;;
;;;;;
TOTAL SCR;35;;;;
% of SCR OF SESSION;19.1%;;;;
Red hands;0;;;;
Orange hands;17;;;;
Yellow hands;101;;;;
Green hands;18;;;;
0-5 SCR/MIN (HH:MM:SS);00:09:51;;;;
6-9 SCR/MIN (HH:MM:SS);00:01:33;;;;
10-15 SCR/MIN (HH:MM:SS);00:00:00;;;;
>16 SCR/MIN (HH:MM:SS);00:00:00;;;;
STARS;1;;;;
STARS WITH RIBBON;0;;;;
;;;;;
STATISTICS;;;;;
SECOND;MICROSIEMENS;TIMESTAMP;SCR;SCR/MIN;MARKER
24.4;3.59;20:57:12:891;1;3;
24.6;3.66;20:57:13:091;1;3;
24.8;3.66;20:57:13:291;1;3;
25.0;3.71;20:57:13:491;1;3;
25.2;3.72;20:57:13:691;1;3;
25.4;3.72;20:57:13:891;1;3;
25.6;3.72;20:57:14:091;1;3;
25.8;3.68;20:57:14:291;1;3;
26.0;3.68;20:57:14:491;1;3;
26.2;3.65;20:57:14:691;1;3;
26.4;3.63;20:57:14:891;1;3;
26.6;3.60;20:57:15:091;1;3;
26.8;3.54;20:57:15:291;0;3;
27.0;3.52;20:57:15:491;0;3;
27.2;3.52;20:57:15:691;0;3;
27.4;3.49;20:57:15:891;0;3;
27.6;3.46;20:57:16:091;0;3;
27.8;3.43;20:57:16:291;0;3;
28.0;3.42;20:57:16:491;0;3;
28.2;3.41;20:57:16:691;0;3;
28.4;3.41;20:57:16:891;0;3;
28.6;3.38;20:57:17:091;0;3;
28.8;3.37;20:57:17:291;0;3;
29.0;3.35;20:57:17:491;0;3;
29.2;3.34;20:57:17:691;0;3;
29.4;3.34;20:57:17:891;0;3;
29.6;3.33;20:57:18:091;0;3;
29.8;3.31;20:57:18:291;0;3;
30.0;3.30;20:57:18:491;0;3;
30.2;3.28;20:57:18:691;0;3;
30.4;3.28;20:57:18:891;0;3;
