Device: Xiaomi Redmi Note 7; eSense app version: 4.9.0; android version: 10;
DESCRIPCIÓN;VALOR
NOMBRE DE LA GRABACIÓN;Grabación-15112020-164817;;;;
FECHA (HH:MM:SS);15.11.20 16:48:17;;;;
TIEMPO (HH:MM:SS);00:05:18;;;;
MÁXIMO;7.11 µS;;;;
MÍNIMO;5.06 µS;;;;
DIFERENCIA MIN/MAX;2.05 µS;;;;
MEDIA DE LA SESIÓN;5.89 µS;;;;
AUMENTO DEL TIEMPO (HH:MM:SS);00:01:23;;;;
TIEMPO INVARIABLE (HH:MM:SS);00:00:20;;;;
DISMINUCIÓN DEL TIEMPO (HH:MM:SS);00:03:33;;;;
;;;;;
TOTAL SCR;21;;;;
% DE SCR DE LA SESIÓN;27.9%;;;;
Manos rojas;0;;;;
Manos naranjas;8;;;;
Manos amarillas;45;;;;
Manos verdes;11;;;;
0-5 SCR/MIN (HH:MM:SS);00:04:53;;;;
6-9 SCR/MIN (HH:MM:SS);00:00:27;;;;
10-15 SCR/MIN (HH:MM:SS);00:00:00;;;;
>16 SCR/MIN (HH:MM:SS);00:00:00;;;;
ESTRELLAS;1;;;;
ESTRELLAS CON COLA;0;;;;
;;;;;
STATISTICS;;;;;
SECOND;MICROSIEMENS;TIMESTAMP;SCR;SCR/MIN;MARKER
98.0;5.33;16:49:55:347;0;3;
98.2;5.33;16:49:55:547;0;3;
98.4;5.36;16:49:55:747;0;3;
98.6;5.37;16:49:55:947;0;3;
98.8;5.43;16:49:56:147;0;3;
99.0;5.47;16:49:56:347;0;3;
99.2;5.59;16:49:56:547;0;3;
99.4;5.79;16:49:56:747;0;3;
99.6;5.95;16:49:56:947;0;3;
99.8;6.07;16:49:57:147;0;3;
100.0;6.13;16:49:57:347;0;3;
100.2;6.16;16:49:57:547;0;3;
100.4;6.18;16:49:57:747;0;3;
100.6;6.19;16:49:57:947;0;3;
100.8;6.19;16:49:58:147;0;3;
101.0;6.19;16:49:58:347;0;3;
101.2;6.16;16:49:58:547;0;3;
101.4;6.12;16:49:58:747;0;3;
101.6;6.12;16:49:58:947;0;3;
101.8;6.12;16:49:59:147;0;3;
102.0;6.14;16:49:59:347;0;3;
102.2;6.18;16:49:59:547;0;3;
102.4;6.23;16:49:59:747;0;3;
102.6;6.23;16:49:59:947;0;3;
102.8;6.30;16:50:00:147;0;3;
103.0;6.30;16:50:00:347;0;3;
103.2;6.31;16:50:00:547;0;3;
103.4;6.32;16:50:00:747;1;3;
103.6;6.33;16:50:00:947;1;3;
103.8;6.33;16:50:01:147;1;3;
104.0;6.32;16:50:01:347;1;3;
104.2;6.33;16:50:01:547;1;3;
104.4;6.32;16:50:01:747;1;3;
104.6;6.30;16:50:01:947;1;4;
104.8;6.26;16:50:02:147;1;4;
105.0;6.26;16:50:02:347;1;4;
105.2;6.25;16:50:02:547;1;4;
105.4;6.29;16:50:02:747;1;4;
105.6;6.43;16:50:02:947;1;4;
105.8;6.55;16:50:03:147;1;4;
106.0;6.73;16:50:03:347;1;4;
106.2;6.73;16:50:03:547;1;4;
106.4;6.81;16:50:03:747;1;4;
106.6;6.85;16:50:03:947;1;4;
106.8;6.86;16:50:04:147;1;3;
107.0;6.85;16:50:04:347;1;3;
107.2;6.83;16:50:04:547;1;3;
107.4;6.83;16:50:04:747;1;4;
107.6;6.83;16:50:04:947;1;4;
107.8;6.85;16:50:05:147;1;4;
108.0;6.91;16:50:05:347;1;4;
108.2;7.00;16:50:05:547;1;4;
108.4;7.00;16:50:05:747;1;4;
108.6;7.05;16:50:05:947;1;4;
108.8;7.09;16:50:06:147;1;4;
109.0;7.11;16:50:06:347;1;4;
109.2;7.09;16:50:06:547;1;4;
109.4;7.05;16:50:06:747;1;4;
109.6;7.05;16:50:06:947;1;4;
109.8;7.02;16:50:07:147;1;4;
110.0;6.95;16:50:07:347;1;4;
110.2;6.90;16:50:07:547;1;4;
110.4;6.86;16:50:07:747;1;5;
110.6;6.82;16:50:07:947;1;5;
110.8;6.82;16:50:08:147;1;5;
111.0;6.81;16:50:08:347;1;5;
111.2;6.78;16:50:08:547;1;5;
111.4;6.75;16:50:08:747;1;5;
111.6;6.68;16:50:08:947;1;5;
111.8;6.69;16:50:09:147;1;5;
112.0;6.69;16:50:09:347;1;5;
112.2;6.67;16:50:09:547;1;5;
112.4;6.64;16:50:09:747;1;5;
112.6;6.61;16:50:09:947;1;6;
112.8;6.59;16:50:10:147;1;6;
113.0;6.58;16:50:10:347;1;6;
113.2;6.58;16:50:10:547;1;6;
113.4;6.57;16:50:10:747;1;6;
113.6;6.55;16:50:10:947;1;6;
113.8;6.54;16:50:11:147;1;6;
114.0;6.52;16:50:11:347;1;6;
